Year Month,State,Countym,Industry,Suspicious Activity,Count
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,18
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,3
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Credit/Debit Card,3
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,2
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,3
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Other Casinos,1
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Other Structuring,3
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,5
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,5
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,1
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,1
2014,California,"Tuolumne County, CA",Casino/Card Club - State Licensed Casino,[Total],45
2014,California,"Ventura County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1
2014,California,"Ventura County, CA",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,California,"Ventura County, CA",Casino/Card Club - State Licensed Casino,[Total],2
2014,California,[Total],Casino/Card Club - State Licensed Casino,[Total],276
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Account Takeover,1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,52
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,25
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Bribery or Gratuity,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Changes Spelling or Arrangement of Name,2
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Counterfeit Instrument,20
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Credit/Debit Card,14
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,26
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Exchanges Small Bills for Large Bills or Vice Versa,5
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Forgeries,4
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Identity Theft,7
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Inquiry about End of Business Day,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",2
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,27
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Multiple Individuals with Same or Similar Identities,7
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Casinos,7
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Fraud (Type),1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Identification Documentation,6
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Money Laundering,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Other Suspicious Activities,1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Other Structuring,2
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,24
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,57
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,5
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Physical Condition of Funds,1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,6
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,7
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Intra-Casino Funds Transfers,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Use of Counter Checks or Markers,1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Use of Multiple Accounts,1
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious use of multiple transaction locations,3
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Use of Noncash Monetary Instruments,2
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),6
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Transaction Out of Pattern for Customer(s),2
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",4
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,41
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,48
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,25
2014,Colorado,"Gilpin County, CO",Casino/Card Club - State Licensed Casino,[Total],457
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,Other Structuring,1
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,1
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,1
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,Colorado,"Teller County, CO",Casino/Card Club - State Licensed Casino,[Total],5
2014,Colorado,[Total],Casino/Card Club - State Licensed Casino,[Total],462
2014,Nevada,"Carson City, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1
2014,Nevada,"Carson City, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,Nevada,"Carson City, NV",Casino/Card Club - State Licensed Casino,[Total],2
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Account Takeover,1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,218
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,772
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Bribery or Gratuity,3
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Changes Spelling or Arrangement of Name,5
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Check,173
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Consumer Loan (see instructions),1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Counterfeit Instrument,43
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Credit/Debit Card,42
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,166
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Elder Financial Exploitation,2
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Embezzlement/Theft/Disappearance of Funds,12
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Exchanges Small Bills for Large Bills or Vice Versa,60
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Forgeries,4
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Healthcare/Public or Private Health Insurance,1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Identity Theft,13
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Inquiry about End of Business Day,5
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Known or Suspected Terrorist/Terrorist Organization,1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,"1,620"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Misuse of Position or Self-Dealing,7
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Multiple Individuals with Same or Similar Identities,9
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Casinos,"1,014"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Fraud (Type),27
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Identification Documentation,25
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Money Laundering,198
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Other Suspicious Activities,30
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Other Structuring,"2,293"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,213
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,471
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,27
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspected Public/Private Corruption (Domestic),42
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspected Public/Private Corruption (Foreign),12
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Physical Condition of Funds,11
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,"1,721"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,"Suspicious Designation of Beneficiaries, Assignees or Joint Owners",81
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious EFT/Wire Transfers,"1,769"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,105
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,99
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Intra-Casino Funds Transfers,139
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Counter Checks or Markers,168
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Multiple Accounts,34
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious use of multiple transaction locations,96
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Noncash Monetary Instruments,"1,080"
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),58
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Transaction Out of Pattern for Customer(s),34
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",255
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,136
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,982
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,314
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Unauthorized Electronic Intrusion,1
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,Wire,7
2014,Nevada,"Clark County, NV",Casino/Card Club - State Licensed Casino,[Total],"14,601"
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,3
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,99
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,4
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Exchanges Small Bills for Large Bills or Vice Versa,3
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,23
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Other Casinos,1
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Other Identification Documentation,1
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Other Structuring,35
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,12
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,10
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicious EFT/Wire Transfers,16
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,1
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,7
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Counter Checks or Markers,40
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Noncash Monetary Instruments,1
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,4
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,47
2014,Nevada,"Douglas County, NV",Casino/Card Club - State Licensed Casino,[Total],307
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,4
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,2
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Identity Theft,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Inquiry about End of Business Day,3
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Other Casinos,3
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Other Structuring,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,4
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Transaction Out of Pattern for Customer(s),1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,4
2014,Nevada,"Elko County, NV",Casino/Card Club - State Licensed Casino,[Total],30
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,10
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,27
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Changes Spelling or Arrangement of Name,2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Counterfeit Instrument,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Credit/Debit Card,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,6
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Exchanges Small Bills for Large Bills or Vice Versa,14
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Forgeries,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Inquiry about End of Business Day,2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Market Manipulation/Wash Trading,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Mass-Marketing,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,40
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Misappropriation,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Misuse of Position or Self-Dealing,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Casinos,32
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Identification Documentation,3
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Money Laundering,3
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Other Suspicious Activities,6
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Structuring,7
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Other Terrorist,2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,21
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspected Public/Private Corruption (Domestic),2
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspected Public/Private Corruption (Foreign),1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Physical Condition of Funds,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,14
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious Exchange of Currencies,3
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,8
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Counter Checks or Markers,6
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious use of multiple transaction locations,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Noncash Monetary Instruments,1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",22
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,6
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,18
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,11
2014,Nevada,"Washoe County, NV",Casino/Card Club - State Licensed Casino,[Total],281
2014,Nevada,[Total],Casino/Card Club - State Licensed Casino,[Total],"15,221"
2014,[Total],[Total],Casino/Card Club - State Licensed Casino,[Total],"15,973"
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,2
2015,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,[Total],8
2015,Arizona,[Total],Casino/Card Club - State Licensed Casino,[Total],8
2015,California,"Del Norte County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1
2015,California,"Del Norte County, CA",Casino/Card Club - State Licensed Casino,Other Casinos,1
