Id,Year,State,Countym,Industry,Suspicious Activity,Count,Lat,Long
20,2017,Arizona,Coconino County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1,35.829692,-111.773728
21,2017,Arizona,Coconino County, Tribal Authorized Casino,Embezzlement/Theft/Disappearance of Funds,2,35.829692,-111.773728
22,2017,Arizona,Coconino County, Tribal Authorized Casino,Identity Theft,1,35.829692,-111.773728
23,2017,Arizona,Coconino County, Tribal Authorized Casino,Inquiry about End of Business Day,1,35.829692,-111.773728
24,2017,Arizona,Coconino County, Tribal Authorized Casino,Other Casinos,4,35.829692,-111.773728
25,2017,Arizona,Coconino County, Tribal Authorized Casino,Other Identification Documentation,2,35.829692,-111.773728
26,2017,Arizona,Coconino County, Tribal Authorized Casino,Other Other Suspicious Activities,3,35.829692,-111.773728
27,2017,Arizona,Coconino County, Tribal Authorized Casino,Other Structuring,1,35.829692,-111.773728
28,2017,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Documentation,5,35.829692,-111.773728
29,2017,Arizona,Coconino County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,3,35.829692,-111.773728
30,2017,Arizona,Coconino County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,1,35.829692,-111.773728
31,2017,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Exchange of Currencies,2,35.829692,-111.773728
32,2017,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,5,35.829692,-111.773728
33,2017,Arizona,Coconino County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,1,35.829692,-111.773728
34,2017,Arizona,Coconino County, Tribal Authorized Casino,Two or More Individuals Working Together,2,35.829692,-111.773728
35,2018,Arizona,Coconino County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1,35.829692,-111.773728
36,2018,Arizona,Coconino County, Tribal Authorized Casino,Credit/Debit Card,2,35.829692,-111.773728
37,2018,Arizona,Coconino County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1,35.829692,-111.773728
38,2018,Arizona,Coconino County, Tribal Authorized Casino,Embezzlement/Theft/Disappearance of Funds,1,35.829692,-111.773728
39,2018,Arizona,Coconino County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,2,35.829692,-111.773728
40,2018,Arizona,Coconino County, Tribal Authorized Casino,Forgeries,1,35.829692,-111.773728
41,2018,Arizona,Coconino County, Tribal Authorized Casino,Identity Theft,7,35.829692,-111.773728
42,2018,Arizona,Coconino County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,2,35.829692,-111.773728
43,2018,Arizona,Coconino County, Tribal Authorized Casino,Other Casinos,1,35.829692,-111.773728
44,2018,Arizona,Coconino County, Tribal Authorized Casino,Other Identification Documentation,3,35.829692,-111.773728
45,2018,Arizona,Coconino County, Tribal Authorized Casino,Other Other Suspicious Activities,5,35.829692,-111.773728
46,2018,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Documentation,5,35.829692,-111.773728
47,2018,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Identification,1,35.829692,-111.773728
48,2018,Arizona,Coconino County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,9,35.829692,-111.773728
49,2018,Arizona,Coconino County, Tribal Authorized Casino,Single Individual with Multiple Identities,5,35.829692,-111.773728
50,2018,Arizona,Coconino County, Tribal Authorized Casino,Suspected Public/Private Corruption (Domestic),1,35.829692,-111.773728
51,2018,Arizona,Coconino County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,4,35.829692,-111.773728
52,2018,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1,35.829692,-111.773728
53,2018,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,1,35.829692,-111.773728
54,2018,Arizona,Coconino County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),3,35.829692,-111.773728
55,2018,Arizona,Coconino County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",10,35.829692,-111.773728
56,2018,Arizona,Coconino County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,1,35.829692,-111.773728
57,2018,Arizona,Coconino County, Tribal Authorized Casino,Two or More Individuals Working Together,3,35.829692,-111.773728
58,2019,Arizona,Coconino County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1,35.829692,-111.773728
59,2019,Arizona,Coconino County, Tribal Authorized Casino,Credit/Debit Card,4,35.829692,-111.773728
60,2019,Arizona,Coconino County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,1,35.829692,-111.773728
61,2019,Arizona,Coconino County, Tribal Authorized Casino,Identity Theft,2,35.829692,-111.773728
62,2019,Arizona,Coconino County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,3,35.829692,-111.773728
63,2019,Arizona,Coconino County, Tribal Authorized Casino,Other Fraud (Type),1,35.829692,-111.773728
64,2019,Arizona,Coconino County, Tribal Authorized Casino,Other Other Suspicious Activities,13,35.829692,-111.773728
65,2019,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Documentation,1,35.829692,-111.773728
66,2019,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Identification,6,35.829692,-111.773728
67,2019,Arizona,Coconino County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,8,35.829692,-111.773728
68,2019,Arizona,Coconino County, Tribal Authorized Casino,Single Individual with Multiple Identities,3,35.829692,-111.773728
69,2019,Arizona,Coconino County, Tribal Authorized Casino,Suspected Public/Private Corruption (Domestic),6,35.829692,-111.773728
70,2019,Arizona,Coconino County, Tribal Authorized Casino,Suspected Public/Private Corruption (Foreign),2,35.829692,-111.773728
71,2019,Arizona,Coconino County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,5,35.829692,-111.773728
72,2019,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1,35.829692,-111.773728
73,2019,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,2,35.829692,-111.773728
74,2019,Arizona,Coconino County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),3,35.829692,-111.773728
75,2019,Arizona,Coconino County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",2,35.829692,-111.773728
76,2019,Arizona,Coconino County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,1,35.829692,-111.773728
77,2019,Arizona,Coconino County, Tribal Authorized Casino,Two or More Individuals Working Together,6,35.829692,-111.773728
78,2014,Arizona,Maricopa County, Tribal Authorized Casino,Account Takeover,11,33.345176,-112.49893
79,2014,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,18,33.345176,-112.49893
80,2014,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,54,33.345176,-112.49893
81,2014,Arizona,Maricopa County, Tribal Authorized Casino,Bribery or Gratuity,2,33.345176,-112.49893
82,2014,Arizona,Maricopa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,3,33.345176,-112.49893
83,2014,Arizona,Maricopa County, Tribal Authorized Casino,Check,5,33.345176,-112.49893
84,2014,Arizona,Maricopa County, Tribal Authorized Casino,Counterfeit Instrument,4,33.345176,-112.49893
85,2014,Arizona,Maricopa County, Tribal Authorized Casino,Credit/Debit Card,7,33.345176,-112.49893
86,2014,Arizona,Maricopa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,10,33.345176,-112.49893
87,2014,Arizona,Maricopa County, Tribal Authorized Casino,Embezzlement/Theft/Disappearance of Funds,7,33.345176,-112.49893
88,2014,Arizona,Maricopa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,4,33.345176,-112.49893
89,2014,Arizona,Maricopa County, Tribal Authorized Casino,Forgeries,8,33.345176,-112.49893
90,2014,Arizona,Maricopa County, Tribal Authorized Casino,Identity Theft,12,33.345176,-112.49893
91,2014,Arizona,Maricopa County, Tribal Authorized Casino,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",3,33.345176,-112.49893
92,2014,Arizona,Maricopa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,24,33.345176,-112.49893
93,2014,Arizona,Maricopa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,6,33.345176,-112.49893
94,2014,Arizona,Maricopa County, Tribal Authorized Casino,Other Casinos,47,33.345176,-112.49893
95,2014,Arizona,Maricopa County, Tribal Authorized Casino,Other Other Suspicious Activities,2,33.345176,-112.49893
96,2014,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Documentation,22,33.345176,-112.49893
97,2014,Arizona,Maricopa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,30,33.345176,-112.49893
98,2014,Arizona,Maricopa County, Tribal Authorized Casino,Single Individual with Multiple Identities,10,33.345176,-112.49893
99,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,3,33.345176,-112.49893
100,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,31,33.345176,-112.49893
101,2014,Arizona,Maricopa County, Tribal Authorized Casino,"Suspicious Designation of Beneficiaries, Assignees or Joint Owners",2,33.345176,-112.49893
102,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,2,33.345176,-112.49893
103,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,7,33.345176,-112.49893
104,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Intra-Casino Funds Transfers,1,33.345176,-112.49893
105,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Multiple Accounts,3,33.345176,-112.49893
106,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious use of multiple transaction locations,10,33.345176,-112.49893
107,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,12,33.345176,-112.49893
108,2014,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1,33.345176,-112.49893
109,2014,Arizona,Maricopa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),6,33.345176,-112.49893
110,2014,Arizona,Maricopa County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",3,33.345176,-112.49893
111,2014,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,10,33.345176,-112.49893
112,2014,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,17,33.345176,-112.49893
113,2014,Arizona,Maricopa County, Tribal Authorized Casino,Two or More Individuals Working Together,19,33.345176,-112.49893
114,2014,Arizona,Maricopa County, Tribal Authorized Casino,Unauthorized Electronic Intrusion,4,33.345176,-112.49893
115,2015,Arizona,Maricopa County, Tribal Authorized Casino,Account Takeover,4,33.345176,-112.49893
116,2015,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,13,33.345176,-112.49893
117,2015,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,39,33.345176,-112.49893
118,2015,Arizona,Maricopa County, Tribal Authorized Casino,Bribery or Gratuity,1,33.345176,-112.49893
119,2015,Arizona,Maricopa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,4,33.345176,-112.49893
120,2015,Arizona,Maricopa County, Tribal Authorized Casino,Check,2,33.345176,-112.49893
121,2015,Arizona,Maricopa County, Tribal Authorized Casino,Counterfeit Instrument,4,33.345176,-112.49893
122,2015,Arizona,Maricopa County, Tribal Authorized Casino,Credit/Debit Card,6,33.345176,-112.49893
123,2015,Arizona,Maricopa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,11,33.345176,-112.49893
124,2015,Arizona,Maricopa County, Tribal Authorized Casino,Embezzlement/Theft/Disappearance of Funds,4,33.345176,-112.49893
125,2015,Arizona,Maricopa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,3,33.345176,-112.49893
126,2015,Arizona,Maricopa County, Tribal Authorized Casino,Forgeries,4,33.345176,-112.49893
127,2015,Arizona,Maricopa County, Tribal Authorized Casino,Identity Theft,10,33.345176,-112.49893
128,2015,Arizona,Maricopa County, Tribal Authorized Casino,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",2,33.345176,-112.49893
129,2015,Arizona,Maricopa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,25,33.345176,-112.49893
130,2015,Arizona,Maricopa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,4,33.345176,-112.49893
131,2015,Arizona,Maricopa County, Tribal Authorized Casino,Other Casinos,61,33.345176,-112.49893
132,2015,Arizona,Maricopa County, Tribal Authorized Casino,Other Structuring,1,33.345176,-112.49893
133,2015,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Documentation,22,33.345176,-112.49893
134,2015,Arizona,Maricopa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,35,33.345176,-112.49893
135,2015,Arizona,Maricopa County, Tribal Authorized Casino,Single Individual with Multiple Identities,7,33.345176,-112.49893
136,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspected Public/Private Corruption (Domestic),1,33.345176,-112.49893
137,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,1,33.345176,-112.49893
138,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,21,33.345176,-112.49893
139,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,3,33.345176,-112.49893
140,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,8,33.345176,-112.49893
141,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Multiple Accounts,4,33.345176,-112.49893
142,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious use of multiple transaction locations,5,33.345176,-112.49893
143,2015,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,10,33.345176,-112.49893
144,2015,Arizona,Maricopa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),7,33.345176,-112.49893
145,2015,Arizona,Maricopa County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",8,33.345176,-112.49893
146,2015,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,10,33.345176,-112.49893
147,2015,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,14,33.345176,-112.49893
148,2015,Arizona,Maricopa County, Tribal Authorized Casino,Two or More Individuals Working Together,23,33.345176,-112.49893
149,2016,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,7,33.345176,-112.49893
150,2016,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,8,33.345176,-112.49893
151,2016,Arizona,Maricopa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,1,33.345176,-112.49893
152,2016,Arizona,Maricopa County, Tribal Authorized Casino,Check,12,33.345176,-112.49893
153,2016,Arizona,Maricopa County, Tribal Authorized Casino,Counterfeit Instrument,11,33.345176,-112.49893
154,2016,Arizona,Maricopa County, Tribal Authorized Casino,Credit/Debit Card,21,33.345176,-112.49893
155,2016,Arizona,Maricopa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,8,33.345176,-112.49893
156,2016,Arizona,Maricopa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,11,33.345176,-112.49893
157,2016,Arizona,Maricopa County, Tribal Authorized Casino,Forgeries,6,33.345176,-112.49893
158,2016,Arizona,Maricopa County, Tribal Authorized Casino,Identity Theft,13,33.345176,-112.49893
159,2016,Arizona,Maricopa County, Tribal Authorized Casino,Inquiry about End of Business Day,1,33.345176,-112.49893
160,2016,Arizona,Maricopa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,26,33.345176,-112.49893
161,2016,Arizona,Maricopa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,1,33.345176,-112.49893
162,2016,Arizona,Maricopa County, Tribal Authorized Casino,Other Casinos,23,33.345176,-112.49893
163,2016,Arizona,Maricopa County, Tribal Authorized Casino,Other Identification Documentation,1,33.345176,-112.49893
164,2016,Arizona,Maricopa County, Tribal Authorized Casino,Other Money Laundering,2,33.345176,-112.49893
165,2016,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Documentation,23,33.345176,-112.49893
166,2016,Arizona,Maricopa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,20,33.345176,-112.49893
167,2016,Arizona,Maricopa County, Tribal Authorized Casino,Single Individual with Multiple Identities,5,33.345176,-112.49893
168,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,1,33.345176,-112.49893
169,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,69,33.345176,-112.49893
170,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,5,33.345176,-112.49893
171,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Multiple Accounts,3,33.345176,-112.49893
172,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious use of multiple transaction locations,10,33.345176,-112.49893
173,2016,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,2,33.345176,-112.49893
174,2016,Arizona,Maricopa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),10,33.345176,-112.49893
175,2016,Arizona,Maricopa County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",3,33.345176,-112.49893
176,2016,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,4,33.345176,-112.49893
177,2016,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,14,33.345176,-112.49893
178,2016,Arizona,Maricopa County, Tribal Authorized Casino,Two or More Individuals Working Together,27,33.345176,-112.49893
179,2016,Arizona,Maricopa County, Tribal Authorized Casino,Unlicensed or Unregistered MSB,1,33.345176,-112.49893
180,2017,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,10,33.345176,-112.49893
181,2017,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,6,33.345176,-112.49893
182,2017,Arizona,Maricopa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,1,33.345176,-112.49893
183,2017,Arizona,Maricopa County, Tribal Authorized Casino,Check,29,33.345176,-112.49893
184,2017,Arizona,Maricopa County, Tribal Authorized Casino,Counterfeit Instrument,7,33.345176,-112.49893
185,2017,Arizona,Maricopa County, Tribal Authorized Casino,Credit/Debit Card,11,33.345176,-112.49893
186,2017,Arizona,Maricopa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,4,33.345176,-112.49893
187,2017,Arizona,Maricopa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,7,33.345176,-112.49893
188,2017,Arizona,Maricopa County, Tribal Authorized Casino,Identity Theft,2,33.345176,-112.49893
189,2017,Arizona,Maricopa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,21,33.345176,-112.49893
190,2017,Arizona,Maricopa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,2,33.345176,-112.49893
191,2017,Arizona,Maricopa County, Tribal Authorized Casino,Other Casinos,25,33.345176,-112.49893
192,2017,Arizona,Maricopa County, Tribal Authorized Casino,Other Fraud (Type),18,33.345176,-112.49893
193,2017,Arizona,Maricopa County, Tribal Authorized Casino,Other Identification Documentation,5,33.345176,-112.49893
194,2017,Arizona,Maricopa County, Tribal Authorized Casino,Other Other Suspicious Activities,4,33.345176,-112.49893
195,2017,Arizona,Maricopa County, Tribal Authorized Casino,Other Structuring,1,33.345176,-112.49893
196,2017,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Documentation,35,33.345176,-112.49893
197,2017,Arizona,Maricopa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,24,33.345176,-112.49893
198,2017,Arizona,Maricopa County, Tribal Authorized Casino,Single Individual with Multiple Identities,9,33.345176,-112.49893
199,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,97,33.345176,-112.49893
200,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,1,33.345176,-112.49893
201,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,6,33.345176,-112.49893
202,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Multiple Accounts,1,33.345176,-112.49893
203,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious use of multiple transaction locations,3,33.345176,-112.49893
204,2017,Arizona,Maricopa County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,2,33.345176,-112.49893
205,2017,Arizona,Maricopa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),16,33.345176,-112.49893
206,2017,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,10,33.345176,-112.49893
207,2017,Arizona,Maricopa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,10,33.345176,-112.49893
208,2017,Arizona,Maricopa County, Tribal Authorized Casino,Two or More Individuals Working Together,27,33.345176,-112.49893
209,2018,Arizona,Maricopa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,1,33.345176,-112.49893
210,2018,Arizona,Maricopa County, Card Club,Chip Walking,1,33.345176,-112.49893
211,2018,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,4,33.345176,-112.49893
212,2018,Arizona,Maricopa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,8,33.345176,-112.49893
213,2018,Arizona,Maricopa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,1,33.345176,-112.49893
214,2018,Arizona,Maricopa County, Tribal Authorized Casino,Check,30,33.345176,-112.49893
215,2018,Arizona,Maricopa County, Tribal Authorized Casino,Chip Walking,2,33.345176,-112.49893
216,2018,Arizona,Maricopa County, Tribal Authorized Casino,Counterfeit Instrument,2,33.345176,-112.49893
217,2018,Arizona,Maricopa County, Tribal Authorized Casino,Credit/Debit Card,26,33.345176,-112.49893
218,2018,Arizona,Maricopa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1,33.345176,-112.49893
219,2018,Arizona,Maricopa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,5,33.345176,-112.49893
220,2018,Arizona,Maricopa County, Tribal Authorized Casino,Identity Theft,3,33.345176,-112.49893
221,2018,Arizona,Maricopa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,20,33.345176,-112.49893
222,2018,Arizona,Maricopa County, Tribal Authorized Casino,Misuse of Position or Self-Dealing,1,33.345176,-112.49893
223,2018,Arizona,Maricopa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,1,33.345176,-112.49893
224,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Casinos,20,33.345176,-112.49893
225,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Fraud (Type),11,33.345176,-112.49893
226,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Identification Documentation,4,33.345176,-112.49893
227,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Money Laundering,6,33.345176,-112.49893
228,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Other Suspicious Activities,5,33.345176,-112.49893
229,2018,Arizona,Maricopa County, Tribal Authorized Casino,Other Structuring,2,33.345176,-112.49893
230,2018,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Documentation,20,33.345176,-112.49893
231,2018,Arizona,Maricopa County, Tribal Authorized Casino,Provided Questionable or False Identification,1,33.345176,-112.49893
232,2018,Arizona,Maricopa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,14,33.345176,-112.49893
233,2018,Arizona,Maricopa County, Tribal Authorized Casino,Single Individual with Multiple Identities,2,33.345176,-112.49893
234,2018,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,1,33.345176,-112.49893
235,2018,Arizona,Maricopa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,76,33.345176,-112.49893
